,type,topic,subject,data
10,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.75', 'bestAskSize': '2.0669414', 'bestBid': '3092.74', 'bestBidSize': '38.7159903', 'price': '3092.62', 'sequence': '1626466732780', 'size': '0.0399829', 'time': 1650558723846}"
11,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.30447421', 'bestBid': '41918.1', 'bestBidSize': '2.8520457', 'price': '41916.5', 'sequence': '1628076254037', 'size': '0.00063055', 'time': 1650558723881}"
12,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.75', 'bestAskSize': '2.0669414', 'bestBid': '3092.74', 'bestBidSize': '38.7992368', 'price': '3092.62', 'sequence': '1626466732804', 'size': '0.0399829', 'time': 1650558723947}"
13,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.30447421', 'bestBid': '41918.1', 'bestBidSize': '5.9020457', 'price': '41916.5', 'sequence': '1628076254079', 'size': '0.00063055', 'time': 1650558723974}"
14,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.75', 'bestAskSize': '2.0669414', 'bestBid': '3092.74', 'bestBidSize': '26.5159903', 'price': '3092.62', 'sequence': '1626466732835', 'size': '0.0399829', 'time': 1650558724050}"
15,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.30447421', 'bestBid': '41918.1', 'bestBidSize': '5.3020457', 'price': '41916.5', 'sequence': '1628076254117', 'size': '0.00063055', 'time': 1650558724076}"
16,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.75', 'bestAskSize': '13.4669414', 'bestBid': '3092.74', 'bestBidSize': '26.5465179', 'price': '3092.62', 'sequence': '1626466732869', 'size': '0.0399829', 'time': 1650558724146}"
17,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.30447421', 'bestBid': '41918.1', 'bestBidSize': '5.3020457', 'price': '41916.5', 'sequence': '1628076254157', 'size': '0.00063055', 'time': 1650558724175}"
18,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.75', 'bestAskSize': '13.4669414', 'bestBid': '3092.74', 'bestBidSize': '27.0692186', 'price': '3092.62', 'sequence': '1626466732922', 'size': '0.0399829', 'time': 1650558724246}"
19,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.90447421', 'bestBid': '41918.1', 'bestBidSize': '5.2020457', 'price': '41916.5', 'sequence': '1628076254197', 'size': '0.00063055', 'time': 1650558724280}"
